module name,license,repository
@placemarkio/tokml@0.3.7,MIT,https://github.com/placemark/tokml
@tmcw/togeojson@7.1.2,BSD-2-Clause,https://github.com/placemark/togeojson
buffer@6.0.3,MIT,https://github.com/feross/buffer
flatbush@4.5.0,ISC,https://github.com/mourner/flatbush
fs@0.0.1-security,ISC,https://github.com/npm/security-holder
iconv-lite@0.7.0,MIT,https://github.com/pillarjs/iconv-lite
idb-keyval@6.2.2,Apache-2.0,https://github.com/jakearchibald/idb-keyval
kdbush@4.0.2,ISC,https://github.com/mourner/kdbush
mapshaper@0.6.113,MPL-2.0,https://github.com/mbloch/mapshaper
mproj@0.0.40,MIT,https://github.com/mbloch/mapshaper-proj
rw@1.3.3,BSD-3-Clause,https://github.com/mbostock/rw
sync-request@6.1.0,MIT,https://github.com/ForbesLindesay/sync-request
